time,price,size,brs,title,link,loc
2015-12-28 10:26:00,5908.0,,3.0,Luxury 3Bed2Bath  Prime Wburg  Bedford L  WasherDryer  Roof Deck,/brk/nfb/5377483619.html,brk
2015-12-28 10:25:00,1999.0,1300.0,3.0,HANCOCK ST IRVING AVE MODERN 3BR LOFTEXPOSED BRICK2 AVAILABLREADY,/brk/abo/5377355923.html,brk
2015-12-28 10:25:00,3208.0,,4.0,No FeeBushwickNew ConstructionMassive 3 Bed 1.5 Bath Duplex w/ 500s,/brk/abo/5377393976.html,brk
2015-12-28 10:24:00,1865.0,,1.0,Enormous 1 bedroom 1 bathroom w WasherDryer Located Near Downtown,/brk/abo/5377387758.html,brk
2015-12-28 10:24:00,2499.0,,3.0,MUST SEE  LOVELY 2.5BR  BACKYARD   SS APPL    NO FEE,/brk/abo/5365717494.html,brk
2015-12-28 10:24:00,2735.0,,2.0,SO NICE  Brand new residence  A.M.E.N.I.T.I.E.S  Pet Friendly  JMZ,/brk/abo/5377388102.html,brk
2015-12-28 10:23:00,2499.0,,1.0,4TH FLOOR/ BALCOMNYELEVATORGYMROOFTOPSTORAGEPARKING,/brk/abo/5345218737.html,brk
2015-12-28 10:22:00,2999.0,,4.0,High CeilingLaundryCondo windows1.5 bathsCentral ACDishwasher,/brk/abo/5377390294.html,brk
2015-12-28 10:22:00,1625.0,,2.0,Basic large 2bedroom Great deal Come check it out,/brk/abo/5377355797.html,brk
2015-12-28 10:22:00,2899.0,,4.0,ENORMOUS DUPLEX APARTMENTLaundry Central AC PRIVATE BACK YARD,/brk/abo/5377379429.html,brk
2015-12-28 10:21:00,1650.0,,1.0,BONUS ROOM One BEDROOM APT FOR 1650 REMODELED,/brk/abo/5377376230.html,brk
2015-12-28 10:21:00,2255.0,,2.0,2Bedroom/2bathroom apartment with yard and off street parking in Coney Island s,/brk/abo/5374332574.html,brk
2015-12-28 10:20:00,2400.0,,3.0, 3 BR. NO BROKER FEE APARTMENT ACROSS FROM PARK ASAP MOVE INWOW ,/brk/abo/5345324745.html,brk
2015-12-28 10:20:00,2200.0,,3.0,Price Reduced BEAUTIFUL 3BR APT BY OWNER,/brk/abo/5341563694.html,brk
2015-12-28 10:19:00,3499.0,,4.0,Awesome renovated 4BR Dupex 1.5bath  Great location Stunning details,/brk/abo/5377349603.html,brk
2015-12-28 10:19:00,2599.0,,4.0,Original detailed 4 bedroom 1.5 bath Great deal,/brk/abo/5377371331.html,brk
2015-12-28 10:18:00,3200.0,,2.0,NO FEE 2 bedroom apartment available in Park Slope Brooklyn,/brk/abo/5377356951.html,brk
2015-12-28 10:18:00,1615.0,,1.0,Moving In NOW One BROne Bth 875 Sq Ft In Columbia Heights,/brk/abo/5374331068.html,brk
2015-12-28 10:17:00,2950.0,,3.0,AMAZING 3BR/1BA KING SIZE BRS W/D INCLUDED CENTRAL AC  L J M TRAINS DE,/brk/abo/5377342182.html,brk
2015-12-28 10:17:00,2599.0,,1.0,AMAZING 1 BEDROOM AVAILABLE NOW W/D IN UNITPRIVATE DECK,/brk/abo/5377375858.html,brk
2015-12-28 10:17:00,1975.0,,1.0, Gorgeous 1 Bed Brownstone Apt Big Private BackyardNo FeeWOW ,/brk/abo/5344869225.html,brk
